timestamp,x_cnc,y_cnc,z_cnc,timestamp_mag,timestamp_ft,Bx1,By1,Bz1,Bx2,By2,Bz2,Bx3,By3,Bz3,Bx4,By4,Bz4,Bx5,By5,Bz5,tx,ty,tz,fx,fy,fz
7.033405590057373047e+01,6.000000000000000000e+00,4.000000000000000000e+00,-1.199999999999999956e+00,7.033391308784484863e+01,7.033391308784484863e+01,8.290200000000000102e+01,-7.053000000000000114e+01,9.486440000000000339e+01,-4.739399999999999835e+01,-3.000000000000000000e+00,8.780799999999999272e+01,8.008199999999999363e+01,4.405799999999999983e+01,1.106716000000000122e+02,-1.176360000000000099e+02,-8.701200000000000045e+01,9.236679999999999779e+01,8.353800000000001091e+01,-1.187999999999999972e+02,9.884159999999999968e+01,4.082257602596655460e-02,-3.808823007158935320e-02,-1.208034458756446911e-01,-1.391042813658714336e-02,-2.485598900238983615e-04,-4.289951694011687744e-01
7.331684613227844238e+01,6.000000000000000000e+00,6.000000000000000000e+00,-1.199999999999999956e+00,7.331536316871643066e+01,7.331536316871643066e+01,8.176200000000000045e+01,-7.411199999999999477e+01,9.316079999999999472e+01,-5.358000000000000540e+01,1.434000000000000163e+00,8.203880000000000905e+01,8.380199999999999250e+01,4.398000000000000398e+01,1.119204000000000008e+02,-1.218660000000000139e+02,-8.221200000000001751e+01,8.680000000000001137e+01,8.264400000000000546e+01,-1.213320000000000078e+02,9.145680000000000121e+01,1.027258422970771801e-01,-1.057367470860481329e-01,-1.202716431021690346e-01,-7.764947637915612169e-03,-1.354954913258552690e-02,-5.445060014724731889e-01
7.640133023262023926e+01,6.000000000000000000e+00,8.000000000000000000e+00,-1.199999999999999956e+00,7.640307497978210449e+01,7.640307497978210449e+01,8.225999999999999091e+01,-7.371600000000000819e+01,9.134039999999998827e+01,-5.214000000000000057e+01,6.959999999999999520e-01,8.322039999999999793e+01,8.132400000000001228e+01,4.345199999999999818e+01,1.143596000000000004e+02,-1.202760000000000105e+02,-8.275800000000000978e+01,8.840720000000001733e+01,8.271000000000000796e+01,-1.228139999999999930e+02,9.130160000000000764e+01,4.489340587810147776e-02,4.780389741063117461e-03,-1.245218145847320629e-01,-7.335376888513565029e-03,-4.747301582247019473e-03,-4.945530635118484675e-01
7.948529624938964844e+01,6.000000000000000000e+00,1.000000000000000000e+01,-1.199999999999999956e+00,7.948629713058471680e+01,7.948629713058471680e+01,8.209199999999999875e+01,-7.250400000000000489e+01,9.177639999999999532e+01,-5.165399999999999636e+01,-1.157999999999999918e+00,8.414839999999999520e+01,8.261400000000000432e+01,4.433400000000000318e+01,1.121144000000000034e+02,-1.219620000000000175e+02,-8.413800000000000523e+01,8.765319999999999823e+01,8.315400000000001057e+01,-1.212180000000000177e+02,9.231839999999999691e+01,-1.457872596569359351e-02,-5.534709230065346097e-02,-1.227302661538124118e-01,-1.540395188494585350e-03,-4.218615524005145043e-03,-5.101667016744613203e-01
8.257117700576782227e+01,6.000000000000000000e+00,1.200000000000000000e+01,-1.199999999999999956e+00,8.257103300094604492e+01,8.257103300094604492e+01,8.223600000000000421e+01,-7.142399999999999238e+01,9.110800000000000409e+01,-5.052600000000000335e+01,-2.225999999999999979e+00,8.401279999999999859e+01,8.180400000000000205e+01,4.456199999999999761e+01,1.106520000000000010e+02,-1.201680000000000064e+02,-8.491200000000000614e+01,8.801000000000000512e+01,8.256000000000000227e+01,-1.203000000000000114e+02,9.268600000000000705e+01,-1.889221845194697519e-02,-1.960988687351346293e-02,-1.194485610723495517e-01,1.018483922234736643e-03,-5.161903910338878736e-03,-5.176342868804932884e-01
8.565546107292175293e+01,6.000000000000000000e+00,1.400000000000000000e+01,-1.199999999999999956e+00,8.565781807899475098e+01,8.565781807899475098e+01,8.096399999999999864e+01,-7.179599999999999227e+01,9.295720000000000027e+01,-5.146200000000000330e+01,-2.777999999999999581e+00,8.536840000000000828e+01,8.183400000000000318e+01,4.477800000000000580e+01,1.111548000000000087e+02,-1.191479999999999961e+02,-8.425800000000000978e+01,8.892079999999999984e+01,8.542199999999999704e+01,-1.202640000000000100e+02,9.250280000000000769e+01,7.253756970167160589e-02,8.353068813681602256e-02,-1.279122138023376376e-01,9.432409740984439711e-03,-5.796617100713775429e-04,-4.159761786460876576e-01
8.874214410781860352e+01,6.000000000000000000e+00,1.600000000000000000e+01,-1.199999999999999956e+00,8.874313116073608398e+01,8.874313116073608398e+01,7.956000000000000227e+01,-7.236599999999999966e+01,9.281200000000001182e+01,-4.837800000000000011e+01,-4.499999999999999556e-01,8.502960000000001628e+01,8.185800000000000409e+01,4.200000000000000000e+01,1.102544000000000040e+02,-1.195800000000000125e+02,-8.411400000000000432e+01,8.781680000000000064e+01,8.296199999999998909e+01,-1.198799999999999955e+02,9.301480000000000814e+01,1.524654113221913382e-02,1.773787614703178361e-01,-1.270052060484886114e-01,1.630648002028465410e-02,-4.283911863458342642e-03,-3.038624954223633212e-01
9.212873816490173340e+01,8.000000000000000000e+00,0.000000000000000000e+00,-1.199999999999999956e+00,9.212958407402038574e+01,9.212958407402038574e+01,8.175600000000000023e+01,-7.156800000000001205e+01,9.285040000000000759e+01,-4.888200000000000500e+01,-4.578000000000000291e+00,8.524240000000000350e+01,8.189400000000000546e+01,4.297800000000000153e+01,1.099564000000000021e+02,-1.188300000000000125e+02,-8.724599999999999511e+01,8.867879999999999541e+01,8.368200000000000216e+01,-1.188900000000000006e+02,9.377000000000001023e+01,3.569413840770721547e-02,-3.431386834383011175e-01,-1.170615696907043590e-01,-2.878517605364322440e-02,-2.781117407139391262e-03,-4.266520011425017911e-01
9.521371698379516602e+01,8.000000000000000000e+00,2.000000000000000000e+00,-1.199999999999999956e+00,9.521432399749755859e+01,9.521432399749755859e+01,8.162399999999999523e+01,-7.036800000000000921e+01,9.119560000000001310e+01,-4.741199999999999903e+01,-1.512000000000000011e+00,8.687800000000001432e+01,8.115000000000000568e+01,4.426800000000000068e+01,1.086860000000000070e+02,-1.177560000000000002e+02,-8.731200000000001182e+01,8.852400000000000091e+01,8.366400000000000148e+01,-1.187880000000000109e+02,9.410840000000000316e+01,4.986702992115170374e-02,-5.643554000183940295e-02,-1.191563206911086942e-01,-1.192551285028457808e-02,-4.311588930431753224e-03,-4.382643103599548340e-01
9.829881501197814941e+01,8.000000000000000000e+00,4.000000000000000000e+00,-1.199999999999999956e+00,9.829738807678222656e+01,9.829738807678222656e+01,8.391000000000001080e+01,-6.982200000000000273e+01,9.021800000000000352e+01,-4.628400000000000603e+01,-2.760000000000000231e+00,8.471959999999999980e+01,8.196000000000000796e+01,4.522200000000000131e+01,1.096068000000000069e+02,-1.179060000000000059e+02,-8.738400000000001455e+01,9.118519999999999470e+01,8.476800000000000068e+01,-1.171020000000000039e+02,9.706119999999999948e+01,9.382826074957847928e-02,-5.062261253595352201e-02,-1.168389394879341125e-01,3.206578817917034308e-03,-4.262577913468703489e-03,-4.747335648536681885e-01
